id;start_date;end_date;language
1;2020-06-24T23:49:34;2020-06-24T21:39:49;SPANISH
2;2020-06-24T04:39:45;2020-06-24T23:44:10;SPANISH
3;2020-06-24T19:35:04;2020-06-24T06:09:13;FRENCH
4;2020-06-24T10:52:35;2020-06-24T22:24:01;FRENCH
5;2020-06-24T20:22:53;2020-06-25T01:09:52;FRENCH
6;2020-06-24T14:15:14;2020-06-25T02:23:28;FRENCH
7;2020-06-24T16:00:34;2020-06-24T09:51:25;FRENCH
8;2020-06-24T14:56:47;2020-06-25T01:12:55;SPANISH
9;2020-06-24T13:37:56;2020-06-24T10:19:19;SPANISH
10;2020-06-24T21:50:00;2020-06-24T08:24:30;SPANISH
